labels,a.7w7e-i.6kux
"x2ee, x3ee, x4ee",0.57
"x2ee, x3ee, xEL2",-5.75
"x2ee, x3ee, x5ee",-3.75
"x2ee, x3ee, x6ee",-7.96
"x2ee, x3ee, x7ee",3.66
"x2ee, x4ee, xEL2",13.57
"x2ee, x4ee, x5ee",-3.07
"x2ee, x4ee, x6ee",-13.45
"x2ee, x4ee, x7ee",1.75
"x2ee, xEL2, x5ee",-22.12
"x2ee, xEL2, x6ee",-32.59
"x2ee, xEL2, x7ee",-13.48
"x2ee, x5ee, x6ee",-4.88
"x2ee, x5ee, x7ee",8.63
"x2ee, x6ee, x7ee",6.07
"x3ee, x4ee, xEL2",10.47
"x3ee, x4ee, x5ee",0.58
"x3ee, x4ee, x6ee",-4.60
"x3ee, x4ee, x7ee",-1.03
"x3ee, xEL2, x5ee",24.86
"x3ee, xEL2, x6ee",31.25
"x3ee, xEL2, x7ee",-22.60
"x3ee, x5ee, x6ee",-0.48
"x3ee, x5ee, x7ee",1.24
"x3ee, x6ee, x7ee",-5.51
"x4ee, xEL2, x5ee",11.16
"x4ee, xEL2, x6ee",9.53
"x4ee, xEL2, x7ee",12.40
"x4ee, x5ee, x6ee",5.49
"x4ee, x5ee, x7ee",3.90
"x4ee, x6ee, x7ee",-9.07
"xEL2, x5ee, x6ee",3.08
"xEL2, x5ee, x7ee",-2.15
"xEL2, x6ee, x7ee",-12.93
"x5ee, x6ee, x7ee",-7.27
