labels,a.7jjo,i.5a8e,a.7jjo-i.5a8e
"x2ee, x3ee, x4ee, x5ee",236.66,255.26,-18.60
"x2ee, x3ee, x4ee, x6ee",302.89,320.36,-17.48
"x2ee, x3ee, x4ee, x7ee",244.70,256.44,-11.74
"x2ee, x3ee, x5ee, x6ee",262.79,259.01,3.78
"x2ee, x3ee, x5ee, x7ee",291.38,285.15,6.23
"x2ee, x3ee, x6ee, x7ee",260.76,252.10,8.66
"x2ee, x4ee, x5ee, x6ee",252.79,266.34,-13.55
"x2ee, x4ee, x5ee, x7ee",281.60,292.10,-10.50
"x2ee, x4ee, x6ee, x7ee",296.82,305.56,-8.73
"x2ee, x5ee, x6ee, x7ee",181.84,173.54,8.30
"x3ee, x4ee, x5ee, x6ee",158.29,176.66,-18.36
"x3ee, x4ee, x5ee, x7ee",261.13,276.42,-15.29
"x3ee, x4ee, x6ee, x7ee",277.18,291.18,-14.00
"x3ee, x5ee, x6ee, x7ee",237.12,230.40,6.72
"x4ee, x5ee, x6ee, x7ee",174.43,174.47,-0.04
