labels,a.3sn6
"x2ee, x3ee, x4ee",89.42
"x2ee, x3ee, xEL2",84.41
"x2ee, x3ee, x5ee",165.97
"x2ee, x3ee, x6ee",191.27
"x2ee, x3ee, x7ee",112.60
"x2ee, x4ee, xEL2",87.12
"x2ee, x4ee, x5ee",159.23
"x2ee, x4ee, x6ee",241.91
"x2ee, x4ee, x7ee",166.04
"x2ee, xEL2, x5ee",38.51
"x2ee, xEL2, x6ee",84.64
"x2ee, xEL2, x7ee",76.29
"x2ee, x5ee, x6ee",124.47
"x2ee, x5ee, x7ee",126.32
"x2ee, x6ee, x7ee",62.26
"x3ee, x4ee, xEL2",71.62
"x3ee, x4ee, x5ee",80.13
"x3ee, x4ee, x6ee",138.89
"x3ee, x4ee, x7ee",139.72
"x3ee, xEL2, x5ee",66.09
"x3ee, xEL2, x6ee",26.12
"x3ee, xEL2, x7ee",48.12
"x3ee, x5ee, x6ee",99.49
"x3ee, x5ee, x7ee",178.71
"x3ee, x6ee, x7ee",140.53
"x4ee, xEL2, x5ee",73.54
"x4ee, xEL2, x6ee",93.16
"x4ee, xEL2, x7ee",42.60
"x4ee, x5ee, x6ee",41.82
"x4ee, x5ee, x7ee",119.44
"x4ee, x6ee, x7ee",137.93
"xEL2, x5ee, x6ee",59.47
"xEL2, x5ee, x7ee",69.41
"xEL2, x6ee, x7ee",69.00
"x5ee, x6ee, x7ee",60.30
