labels,i.2rh1
"x2ee, x3ee, x4ee",85.35
"x2ee, x3ee, xEL2",85.70
"x2ee, x3ee, x5ee",149.91
"x2ee, x3ee, x6ee",174.18
"x2ee, x3ee, x7ee",87.85
"x2ee, x4ee, xEL2",67.28
"x2ee, x4ee, x5ee",146.61
"x2ee, x4ee, x6ee",230.39
"x2ee, x4ee, x7ee",137.73
"x2ee, xEL2, x5ee",31.21
"x2ee, xEL2, x6ee",104.32
"x2ee, xEL2, x7ee",75.94
"x2ee, x5ee, x6ee",121.12
"x2ee, x5ee, x7ee",101.84
"x2ee, x6ee, x7ee",47.78
"x3ee, x4ee, xEL2",61.81
"x3ee, x4ee, x5ee",80.53
"x3ee, x4ee, x6ee",142.30
"x3ee, x4ee, x7ee",134.64
"x3ee, xEL2, x5ee",35.37
"x3ee, xEL2, x6ee",18.94
"x3ee, xEL2, x7ee",74.30
"x3ee, x5ee, x6ee",96.86
"x3ee, x5ee, x7ee",163.88
"x3ee, x6ee, x7ee",133.86
"x4ee, xEL2, x5ee",48.19
"x4ee, xEL2, x6ee",62.14
"x4ee, xEL2, x7ee",14.52
"x4ee, x5ee, x6ee",40.54
"x4ee, x5ee, x7ee",110.66
"x4ee, x6ee, x7ee",140.42
"xEL2, x5ee, x6ee",47.35
"xEL2, x5ee, x7ee",56.75
"xEL2, x6ee, x7ee",76.08
"x5ee, x6ee, x7ee",66.79
