labels,i.3pbl
"x2ee, x3ee, x4ee",68.45
"x2ee, x3ee, xEL2",90.24
"x2ee, x3ee, x5ee",144.16
"x2ee, x3ee, x6ee",166.55
"x2ee, x3ee, x7ee",108.42
"x2ee, x4ee, xEL2",83.89
"x2ee, x4ee, x5ee",141.19
"x2ee, x4ee, x6ee",211.91
"x2ee, x4ee, x7ee",166.96
"x2ee, xEL2, x5ee",15.52
"x2ee, xEL2, x6ee",88.03
"x2ee, xEL2, x7ee",103.52
"x2ee, x5ee, x6ee",115.20
"x2ee, x5ee, x7ee",147.47
"x2ee, x6ee, x7ee",88.47
"x3ee, x4ee, xEL2",54.81
"x3ee, x4ee, x5ee",62.45
"x3ee, x4ee, x6ee",110.98
"x3ee, x4ee, x7ee",126.30
"x3ee, xEL2, x5ee",38.88
"x3ee, xEL2, x6ee",21.73
"x3ee, xEL2, x7ee",85.59
"x3ee, x5ee, x6ee",92.73
"x3ee, x5ee, x7ee",183.22
"x3ee, x6ee, x7ee",146.61
"x4ee, xEL2, x5ee",44.49
"x4ee, xEL2, x6ee",40.35
"x4ee, xEL2, x7ee",28.94
"x4ee, x5ee, x6ee",44.54
"x4ee, x5ee, x7ee",121.93
"x4ee, x6ee, x7ee",133.94
"xEL2, x5ee, x6ee",40.40
"xEL2, x5ee, x7ee",58.75
"xEL2, x6ee, x7ee",71.76
"x5ee, x6ee, x7ee",56.17
