labels,a.6oij,i.5cxv,i.6wjc,a.6oij-i.5cxv,a.6oij-i.6wjc
"x2ee, x3ee, x4ee, x5ee",183.57,189.20,195.86,-5.62,-12.29
"x2ee, x3ee, x4ee, x6ee",230.10,260.64,263.73,-30.53,-33.62
"x2ee, x3ee, x4ee, x7ee",185.22,182.59,188.16,2.62,-2.94
"x2ee, x3ee, x5ee, x6ee",230.84,219.78,215.26,11.06,15.58
"x2ee, x3ee, x5ee, x7ee",238.98,213.80,219.26,25.18,19.72
"x2ee, x3ee, x6ee, x7ee",183.00,186.00,190.68,-3.01,-7.69
"x2ee, x4ee, x5ee, x6ee",223.18,239.03,247.10,-15.85,-23.91
"x2ee, x4ee, x5ee, x7ee",230.92,233.22,251.36,-2.30,-20.44
"x2ee, x4ee, x6ee, x7ee",223.64,257.92,273.20,-34.28,-49.56
"x2ee, x5ee, x6ee, x7ee",160.10,157.49,164.30,2.62,-4.19
"x3ee, x4ee, x5ee, x6ee",157.60,161.02,169.70,-3.42,-12.10
"x3ee, x4ee, x5ee, x7ee",220.12,219.03,234.33,1.09,-14.22
"x3ee, x4ee, x6ee, x7ee",212.28,243.90,256.35,-31.63,-44.08
"x3ee, x5ee, x6ee, x7ee",213.26,203.12,207.74,10.15,5.52
"x4ee, x5ee, x6ee, x7ee",156.95,164.05,172.42,-7.10,-15.47
