labels,a.6oik-i.5zkc
"x2ee, x3ee, x4ee",8.11
"x2ee, x3ee, xEL2",5.38
"x2ee, x3ee, x5ee",11.48
"x2ee, x3ee, x6ee",-5.12
"x2ee, x3ee, x7ee",-2.04
"x2ee, x4ee, xEL2",18.58
"x2ee, x4ee, x5ee",-7.85
"x2ee, x4ee, x6ee",-20.81
"x2ee, x4ee, x7ee",-10.16
"x2ee, xEL2, x5ee",17.30
"x2ee, xEL2, x6ee",-36.01
"x2ee, xEL2, x7ee",-19.14
"x2ee, x5ee, x6ee",5.72
"x2ee, x5ee, x7ee",1.72
"x2ee, x6ee, x7ee",-6.62
"x3ee, x4ee, xEL2",14.93
"x3ee, x4ee, x5ee",-9.27
"x3ee, x4ee, x6ee",-9.42
"x3ee, x4ee, x7ee",-1.55
"x3ee, xEL2, x5ee",33.79
"x3ee, xEL2, x6ee",-27.48
"x3ee, xEL2, x7ee",-11.76
"x3ee, x5ee, x6ee",19.68
"x3ee, x5ee, x7ee",13.66
"x3ee, x6ee, x7ee",-9.77
"x4ee, xEL2, x5ee",26.07
"x4ee, xEL2, x6ee",20.05
"x4ee, xEL2, x7ee",10.51
"x4ee, x5ee, x6ee",18.37
"x4ee, x5ee, x7ee",4.09
"x4ee, x6ee, x7ee",-16.71
"xEL2, x5ee, x6ee",9.00
"xEL2, x5ee, x7ee",4.16
"xEL2, x6ee, x7ee",-22.70
"x5ee, x6ee, x7ee",-2.31
