labels,a.8e9z-i.5zhp
"x2ee, x3ee, x4ee",-4.58
"x2ee, x3ee, xEL2",-8.73
"x2ee, x3ee, x5ee",-11.69
"x2ee, x3ee, x6ee",-23.29
"x2ee, x3ee, x7ee",-15.96
"x2ee, x4ee, xEL2",11.02
"x2ee, x4ee, x5ee",-24.22
"x2ee, x4ee, x6ee",-30.86
"x2ee, x4ee, x7ee",-19.26
"x2ee, xEL2, x5ee",0.54
"x2ee, xEL2, x6ee",-58.98
"x2ee, xEL2, x7ee",-29.37
"x2ee, x5ee, x6ee",0.61
"x2ee, x5ee, x7ee",-1.44
"x2ee, x6ee, x7ee",0.67
"x3ee, x4ee, xEL2",15.92
"x3ee, x4ee, x5ee",-15.62
"x3ee, x4ee, x6ee",-12.56
"x3ee, x4ee, x7ee",-7.30
"x3ee, xEL2, x5ee",36.29
"x3ee, xEL2, x6ee",-46.13
"x3ee, xEL2, x7ee",-22.12
"x3ee, x5ee, x6ee",11.35
"x3ee, x5ee, x7ee",2.44
"x3ee, x6ee, x7ee",-6.66
"x4ee, xEL2, x5ee",25.05
"x4ee, xEL2, x6ee",9.93
"x4ee, xEL2, x7ee",1.25
"x4ee, x5ee, x6ee",6.72
"x4ee, x5ee, x7ee",-6.10
"x4ee, x6ee, x7ee",-10.72
"xEL2, x5ee, x6ee",2.53
"xEL2, x5ee, x7ee",-16.13
"xEL2, x6ee, x7ee",-28.42
"x5ee, x6ee, x7ee",2.36
