labels,a.8e9z,i.4u15,i.5zhp,a.8e9z-i.4u15,a.8e9z-i.5zhp
"x2ee, x3ee, x4ee, x5ee",230.50,250.16,263.18,-19.67,-32.68
"x2ee, x3ee, x4ee, x6ee",284.58,315.15,326.38,-30.57,-41.80
"x2ee, x3ee, x4ee, x7ee",207.80,219.46,228.02,-11.66,-20.23
"x2ee, x3ee, x5ee, x6ee",270.67,261.28,267.55,9.39,3.12
"x2ee, x3ee, x5ee, x7ee",273.03,262.52,268.52,10.51,4.51
"x2ee, x3ee, x6ee, x7ee",225.98,241.54,242.81,-15.56,-16.82
"x2ee, x4ee, x5ee, x6ee",264.59,274.94,285.97,-10.34,-21.38
"x2ee, x4ee, x5ee, x7ee",267.12,273.94,284.12,-6.81,-17.00
"x2ee, x4ee, x6ee, x7ee",265.25,292.14,298.29,-26.89,-33.04
"x2ee, x5ee, x6ee, x7ee",180.46,163.71,164.72,16.75,15.74
"x3ee, x4ee, x5ee, x6ee",186.91,177.06,191.12,9.85,-4.21
"x3ee, x4ee, x5ee, x7ee",265.48,263.69,277.00,1.80,-11.51
"x3ee, x4ee, x6ee, x7ee",264.35,284.31,293.70,-19.96,-29.36
"x3ee, x5ee, x6ee, x7ee",249.70,230.04,234.08,19.66,15.62
"x4ee, x5ee, x6ee, x7ee",202.03,196.98,202.75,5.05,-0.72
