labels,a.7ej0-i.6kux
"x2ee, x3ee, x4ee",-9.82
"x2ee, x3ee, xEL2",1.42
"x2ee, x3ee, x5ee",-0.40
"x2ee, x3ee, x6ee",-0.80
"x2ee, x3ee, x7ee",10.65
"x2ee, x4ee, xEL2",15.00
"x2ee, x4ee, x5ee",-3.22
"x2ee, x4ee, x6ee",-11.28
"x2ee, x4ee, x7ee",14.01
"x2ee, xEL2, x5ee",-24.45
"x2ee, xEL2, x6ee",-27.74
"x2ee, xEL2, x7ee",-0.61
"x2ee, x5ee, x6ee",-0.42
"x2ee, x5ee, x7ee",27.99
"x2ee, x6ee, x7ee",26.94
"x3ee, x4ee, xEL2",3.38
"x3ee, x4ee, x5ee",-12.38
"x3ee, x4ee, x6ee",-21.18
"x3ee, x4ee, x7ee",-6.55
"x3ee, xEL2, x5ee",18.29
"x3ee, xEL2, x6ee",12.76
"x3ee, xEL2, x7ee",-10.10
"x3ee, x5ee, x6ee",0.20
"x3ee, x5ee, x7ee",17.01
"x3ee, x6ee, x7ee",15.83
"x4ee, xEL2, x5ee",5.41
"x4ee, xEL2, x6ee",0.58
"x4ee, xEL2, x7ee",-1.47
"x4ee, x5ee, x6ee",5.55
"x4ee, x5ee, x7ee",10.49
"x4ee, x6ee, x7ee",3.02
"xEL2, x5ee, x6ee",1.74
"xEL2, x5ee, x7ee",3.11
"xEL2, x6ee, x7ee",-1.19
"x5ee, x6ee, x7ee",0.19
