labels,i.6kux
"x2ee, x3ee, x4ee",60.34
"x2ee, x3ee, xEL2",52.09
"x2ee, x3ee, x5ee",108.56
"x2ee, x3ee, x6ee",129.32
"x2ee, x3ee, x7ee",78.44
"x2ee, x4ee, xEL2",45.38
"x2ee, x4ee, x5ee",132.61
"x2ee, x4ee, x6ee",208.91
"x2ee, x4ee, x7ee",159.29
"x2ee, xEL2, x5ee",39.57
"x2ee, xEL2, x6ee",84.62
"x2ee, xEL2, x7ee",79.68
"x2ee, x5ee, x6ee",99.00
"x2ee, x5ee, x7ee",115.55
"x2ee, x6ee, x7ee",70.94
"x3ee, x4ee, xEL2",53.02
"x3ee, x4ee, x5ee",84.04
"x3ee, x4ee, x6ee",139.87
"x3ee, x4ee, x7ee",141.17
"x3ee, xEL2, x5ee",27.19
"x3ee, xEL2, x6ee",8.07
"x3ee, xEL2, x7ee",53.63
"x3ee, x5ee, x6ee",77.94
"x3ee, x5ee, x7ee",145.63
"x3ee, x6ee, x7ee",121.62
"x4ee, xEL2, x5ee",55.24
"x4ee, xEL2, x6ee",79.87
"x4ee, xEL2, x7ee",37.92
"x4ee, x5ee, x6ee",28.83
"x4ee, x5ee, x7ee",89.20
"x4ee, x6ee, x7ee",120.62
"xEL2, x5ee, x6ee",45.91
"xEL2, x5ee, x7ee",71.74
"xEL2, x6ee, x7ee",75.66
"x5ee, x6ee, x7ee",53.16
