labels,a.3sn6-i.6ps6
"x2ee, x3ee, x4ee",5.74
"x2ee, x3ee, xEL2",3.40
"x2ee, x3ee, x5ee",7.30
"x2ee, x3ee, x6ee",2.46
"x2ee, x3ee, x7ee",4.30
"x2ee, x4ee, xEL2",8.38
"x2ee, x4ee, x5ee",6.93
"x2ee, x4ee, x6ee",4.18
"x2ee, x4ee, x7ee",6.53
"x2ee, xEL2, x5ee",7.96
"x2ee, xEL2, x6ee",0.07
"x2ee, xEL2, x7ee",1.17
"x2ee, x5ee, x6ee",3.15
"x2ee, x5ee, x7ee",4.71
"x2ee, x6ee, x7ee",-1.76
"x3ee, x4ee, xEL2",5.15
"x3ee, x4ee, x5ee",4.80
"x3ee, x4ee, x6ee",6.51
"x3ee, x4ee, x7ee",6.46
"x3ee, xEL2, x5ee",5.63
"x3ee, xEL2, x6ee",0.80
"x3ee, xEL2, x7ee",-0.01
"x3ee, x5ee, x6ee",7.59
"x3ee, x5ee, x7ee",6.71
"x3ee, x6ee, x7ee",-3.53
"x4ee, xEL2, x5ee",5.38
"x4ee, xEL2, x6ee",2.15
"x4ee, xEL2, x7ee",3.19
"x4ee, x5ee, x6ee",5.55
"x4ee, x5ee, x7ee",5.04
"x4ee, x6ee, x7ee",-3.67
"xEL2, x5ee, x6ee",2.66
"xEL2, x5ee, x7ee",2.30
"xEL2, x6ee, x7ee",-3.48
"x5ee, x6ee, x7ee",-2.66
