labels,a.3sn6,i.2rh1,i.3ny9,i.6ps2,i.6ps4,i.6ps5,i.6ps6,a.3sn6-i.2rh1,a.3sn6-i.3ny9,a.3sn6-i.6ps2,a.3sn6-i.6ps4,a.3sn6-i.6ps5,a.3sn6-i.6ps6
"x2ee, x3ee, x4ee, x5ee",239.54,231.20,231.37,221.14,222.43,228.92,214.72,8.34,8.16,18.39,17.10,10.61,24.81
"x2ee, x3ee, x4ee, x6ee",314.06,316.11,311.29,312.04,299.39,311.41,306.43,-2.05,2.77,2.02,14.67,2.65,7.63
"x2ee, x3ee, x4ee, x7ee",232.38,222.78,215.80,212.05,214.96,218.78,222.86,9.60,16.58,20.33,17.43,13.60,9.51
"x2ee, x3ee, x5ee, x6ee",284.05,271.03,266.42,270.68,255.59,267.59,260.76,13.02,17.63,13.37,28.46,16.46,23.29
"x2ee, x3ee, x5ee, x7ee",257.06,251.74,238.33,239.20,246.61,248.12,244.26,5.32,18.73,17.86,10.45,8.94,12.80
"x2ee, x3ee, x6ee, x7ee",206.87,221.84,204.74,213.58,219.78,219.62,218.96,-14.97,2.13,-6.71,-12.90,-12.75,-12.09
"x2ee, x4ee, x5ee, x6ee",266.10,269.33,264.24,270.33,254.79,264.93,251.82,-3.23,1.86,-4.23,11.31,1.17,14.28
"x2ee, x4ee, x5ee, x7ee",239.52,248.42,235.24,237.09,245.19,244.79,235.39,-8.91,4.28,2.42,-5.68,-5.28,4.12
"x2ee, x4ee, x6ee, x7ee",245.83,278.16,258.45,271.65,271.48,272.71,270.65,-32.33,-12.62,-25.82,-25.65,-26.88,-24.82
"x2ee, x5ee, x6ee, x7ee",142.85,168.76,145.08,163.37,160.76,160.54,164.15,-25.92,-2.23,-20.52,-17.91,-17.69,-21.30
"x3ee, x4ee, x5ee, x6ee",176.78,180.12,172.58,173.00,164.10,170.68,160.48,-3.34,4.19,3.78,12.68,6.09,16.30
"x3ee, x4ee, x5ee, x7ee",222.80,244.86,226.04,225.68,235.00,234.65,222.57,-22.05,-3.24,-2.88,-12.20,-11.84,0.24
"x3ee, x4ee, x6ee, x7ee",230.22,275.61,249.97,260.70,262.04,263.36,258.76,-45.39,-19.75,-30.47,-31.82,-33.14,-28.54
"x3ee, x5ee, x6ee, x7ee",200.75,230.70,205.58,219.26,218.55,219.90,213.58,-29.95,-4.83,-18.51,-17.80,-19.14,-12.83
"x4ee, x5ee, x6ee, x7ee",149.20,179.20,161.47,174.36,169.29,171.69,156.52,-30.00,-12.27,-25.16,-20.09,-22.49,-7.33
