labels,a.3sn6
"x2ee, x3ee, x4ee",63.87
"x2ee, x3ee, xEL2",57.85
"x2ee, x3ee, x5ee",114.08
"x2ee, x3ee, x6ee",133.20
"x2ee, x3ee, x7ee",81.10
"x2ee, x4ee, xEL2",65.22
"x2ee, x4ee, x5ee",114.44
"x2ee, x4ee, x6ee",191.43
"x2ee, x4ee, x7ee",135.14
"x2ee, xEL2, x5ee",40.29
"x2ee, xEL2, x6ee",66.51
"x2ee, xEL2, x7ee",59.49
"x2ee, x5ee, x6ee",107.96
"x2ee, x5ee, x7ee",101.09
"x2ee, x6ee, x7ee",44.89
"x3ee, x4ee, xEL2",57.55
"x3ee, x4ee, x5ee",63.06
"x3ee, x4ee, x6ee",119.87
"x3ee, x4ee, x7ee",115.41
"x3ee, xEL2, x5ee",50.18
"x3ee, xEL2, x6ee",15.09
"x3ee, xEL2, x7ee",36.53
"x3ee, x5ee, x6ee",88.38
"x3ee, x5ee, x7ee",132.62
"x3ee, x6ee, x7ee",96.95
"x4ee, xEL2, x5ee",55.23
"x4ee, xEL2, x6ee",76.53
"x4ee, xEL2, x7ee",37.47
"x4ee, x5ee, x6ee",31.81
"x4ee, x5ee, x7ee",80.32
"x4ee, x6ee, x7ee",100.82
"xEL2, x5ee, x6ee",52.84
"xEL2, x5ee, x7ee",56.46
"xEL2, x6ee, x7ee",51.28
"x5ee, x6ee, x7ee",50.55
