labels,a.7dfl-i.3rze
"x2ee, x3ee, x4ee",-6.79
"x2ee, x3ee, xEL2",-11.64
"x2ee, x3ee, x5ee",-4.98
"x2ee, x3ee, x6ee",-15.82
"x2ee, x3ee, x7ee",-10.72
"x2ee, x4ee, xEL2",-5.64
"x2ee, x4ee, x5ee",-5.87
"x2ee, x4ee, x6ee",-29.78
"x2ee, x4ee, x7ee",-31.37
"x2ee, xEL2, x5ee",6.29
"x2ee, xEL2, x6ee",-21.90
"x2ee, xEL2, x7ee",-28.64
"x2ee, x5ee, x6ee",-17.00
"x2ee, x5ee, x7ee",-39.73
"x2ee, x6ee, x7ee",-33.00
"x3ee, x4ee, xEL2",-5.92
"x3ee, x4ee, x5ee",-7.71
"x3ee, x4ee, x6ee",-21.90
"x3ee, x4ee, x7ee",-28.41
"x3ee, xEL2, x5ee",5.02
"x3ee, xEL2, x6ee",-18.04
"x3ee, xEL2, x7ee",-29.94
"x3ee, x5ee, x6ee",-9.51
"x3ee, x5ee, x7ee",-36.18
"x3ee, x6ee, x7ee",-37.60
"x4ee, xEL2, x5ee",5.73
"x4ee, xEL2, x6ee",2.45
"x4ee, xEL2, x7ee",-0.07
"x4ee, x5ee, x6ee",3.91
"x4ee, x5ee, x7ee",-15.50
"x4ee, x6ee, x7ee",-31.23
"xEL2, x5ee, x6ee",0.54
"xEL2, x5ee, x7ee",-12.16
"xEL2, x6ee, x7ee",-25.76
"x5ee, x6ee, x7ee",-10.68
