labels,a.7dfl,i.3rze,a.7dfl-i.3rze
"x2ee, x3ee, x4ee, x5ee",144.09,155.92,-11.83
"x2ee, x3ee, x4ee, x6ee",170.36,211.22,-40.86
"x2ee, x3ee, x4ee, x7ee",104.06,149.88,-45.82
"x2ee, x3ee, x5ee, x6ee",168.31,191.20,-22.89
"x2ee, x3ee, x5ee, x7ee",139.15,174.92,-35.77
"x2ee, x3ee, x6ee, x7ee",101.21,123.83,-22.62
"x2ee, x4ee, x5ee, x6ee",195.70,224.65,-28.95
"x2ee, x4ee, x5ee, x7ee",167.42,208.46,-41.03
"x2ee, x4ee, x6ee, x7ee",153.88,205.72,-51.84
"x2ee, x5ee, x6ee, x7ee",95.96,139.15,-43.18
"x3ee, x4ee, x5ee, x6ee",133.40,171.15,-37.75
"x3ee, x4ee, x5ee, x7ee",146.11,193.56,-47.44
"x3ee, x4ee, x6ee, x7ee",132.72,190.90,-58.18
"x3ee, x5ee, x6ee, x7ee",132.10,171.17,-39.07
"x4ee, x5ee, x6ee, x7ee",132.78,145.24,-12.47
