labels,a.6oij-i.6wjc
"x2ee, x3ee, x4ee",7.47
"x2ee, x3ee, xEL2",2.45
"x2ee, x3ee, x5ee",19.41
"x2ee, x3ee, x6ee",-3.36
"x2ee, x3ee, x7ee",6.78
"x2ee, x4ee, xEL2",6.80
"x2ee, x4ee, x5ee",-18.20
"x2ee, x4ee, x6ee",-40.78
"x2ee, x4ee, x7ee",-13.93
"x2ee, xEL2, x5ee",-44.96
"x2ee, xEL2, x6ee",-77.67
"x2ee, xEL2, x7ee",-38.38
"x2ee, x5ee, x6ee",-5.09
"x2ee, x5ee, x7ee",2.51
"x2ee, x6ee, x7ee",-8.18
"x3ee, x4ee, xEL2",9.15
"x3ee, x4ee, x5ee",-23.15
"x3ee, x4ee, x6ee",-30.22
"x3ee, x4ee, x7ee",-14.85
"x3ee, xEL2, x5ee",30.71
"x3ee, xEL2, x6ee",-65.78
"x3ee, xEL2, x7ee",-42.95
"x3ee, x5ee, x6ee",16.48
"x3ee, x5ee, x7ee",14.52
"x3ee, x6ee, x7ee",-18.36
"x4ee, xEL2, x5ee",43.57
"x4ee, xEL2, x6ee",5.61
"x4ee, xEL2, x7ee",-18.05
"x4ee, x5ee, x6ee",3.20
"x4ee, x5ee, x7ee",-4.15
"x4ee, x6ee, x7ee",-35.63
"xEL2, x5ee, x6ee",7.20
"xEL2, x5ee, x7ee",-21.65
"xEL2, x6ee, x7ee",-47.51
"x5ee, x6ee, x7ee",-15.35
