labels,a.6oik-i.5zkc
"x2ee, x3ee, x4ee",14.36
"x2ee, x3ee, xEL2",7.39
"x2ee, x3ee, x5ee",14.65
"x2ee, x3ee, x6ee",-7.02
"x2ee, x3ee, x7ee",5.07
"x2ee, x4ee, xEL2",9.48
"x2ee, x4ee, x5ee",-14.78
"x2ee, x4ee, x6ee",-31.03
"x2ee, x4ee, x7ee",-0.02
"x2ee, xEL2, x5ee",-4.26
"x2ee, xEL2, x6ee",-51.43
"x2ee, xEL2, x7ee",-13.89
"x2ee, x5ee, x6ee",4.06
"x2ee, x5ee, x7ee",13.90
"x2ee, x6ee, x7ee",4.72
"x3ee, x4ee, xEL2",11.31
"x3ee, x4ee, x5ee",-14.27
"x3ee, x4ee, x6ee",-13.46
"x3ee, x4ee, x7ee",8.00
"x3ee, xEL2, x5ee",34.83
"x3ee, xEL2, x6ee",-37.06
"x3ee, xEL2, x7ee",-11.58
"x3ee, x5ee, x6ee",21.95
"x3ee, x5ee, x7ee",22.90
"x3ee, x6ee, x7ee",-7.40
"x4ee, xEL2, x5ee",23.12
"x4ee, xEL2, x6ee",-4.13
"x4ee, xEL2, x7ee",-3.48
"x4ee, x5ee, x6ee",19.65
"x4ee, x5ee, x7ee",-0.96
"x4ee, x6ee, x7ee",-26.56
"xEL2, x5ee, x6ee",8.50
"xEL2, x5ee, x7ee",0.25
"xEL2, x6ee, x7ee",-32.83
"x5ee, x6ee, x7ee",-5.39
