labels,a.8e9z-i.4u15
"x2ee, x3ee, x4ee",0.35
"x2ee, x3ee, xEL2",-11.07
"x2ee, x3ee, x5ee",-3.88
"x2ee, x3ee, x6ee",-19.11
"x2ee, x3ee, x7ee",-7.04
"x2ee, x4ee, xEL2",11.92
"x2ee, x4ee, x5ee",-21.39
"x2ee, x4ee, x6ee",-30.31
"x2ee, x4ee, x7ee",-12.13
"x2ee, xEL2, x5ee",-30.61
"x2ee, xEL2, x6ee",-70.31
"x2ee, xEL2, x7ee",-30.82
"x2ee, x5ee, x6ee",13.29
"x2ee, x5ee, x7ee",14.66
"x2ee, x6ee, x7ee",3.52
"x3ee, x4ee, xEL2",17.90
"x3ee, x4ee, x5ee",-14.42
"x3ee, x4ee, x6ee",-12.08
"x3ee, x4ee, x7ee",-4.50
"x3ee, xEL2, x5ee",31.33
"x3ee, xEL2, x6ee",-59.10
"x3ee, xEL2, x7ee",-35.25
"x3ee, x5ee, x6ee",28.48
"x3ee, x5ee, x7ee",17.28
"x3ee, x6ee, x7ee",-8.48
"x4ee, xEL2, x5ee",40.20
"x4ee, xEL2, x6ee",25.08
"x4ee, xEL2, x7ee",-4.37
"x4ee, x5ee, x6ee",17.72
"x4ee, x5ee, x7ee",5.23
"x4ee, x6ee, x7ee",-14.87
"xEL2, x5ee, x6ee",11.79
"xEL2, x5ee, x7ee",-22.92
"xEL2, x6ee, x7ee",-35.78
"x5ee, x6ee, x7ee",2.03
