labels,a.7v68-i.5dsg
"x2ee, x3ee, x4ee",4.69
"x2ee, x3ee, xEL2",0.27
"x2ee, x3ee, x5ee",2.41
"x2ee, x3ee, x6ee",-4.97
"x2ee, x3ee, x7ee",-9.26
"x2ee, x4ee, xEL2",14.36
"x2ee, x4ee, x5ee",-6.61
"x2ee, x4ee, x6ee",-5.98
"x2ee, x4ee, x7ee",-11.13
"x2ee, xEL2, x5ee",-12.29
"x2ee, xEL2, x6ee",-40.23
"x2ee, xEL2, x7ee",-25.36
"x2ee, x5ee, x6ee",12.01
"x2ee, x5ee, x7ee",1.58
"x2ee, x6ee, x7ee",-1.04
"x3ee, x4ee, xEL2",17.95
"x3ee, x4ee, x5ee",-3.23
"x3ee, x4ee, x6ee",2.82
"x3ee, x4ee, x7ee",2.67
"x3ee, xEL2, x5ee",26.43
"x3ee, xEL2, x6ee",-35.74
"x3ee, xEL2, x7ee",-15.88
"x3ee, x5ee, x6ee",18.69
"x3ee, x5ee, x7ee",13.35
"x3ee, x6ee, x7ee",3.66
"x4ee, xEL2, x5ee",22.38
"x4ee, xEL2, x6ee",12.06
"x4ee, xEL2, x7ee",0.48
"x4ee, x5ee, x6ee",11.02
"x4ee, x5ee, x7ee",5.44
"x4ee, x6ee, x7ee",3.51
"xEL2, x5ee, x6ee",8.78
"xEL2, x5ee, x7ee",-16.33
"xEL2, x6ee, x7ee",-16.11
"x5ee, x6ee, x7ee",9.22
