labels,a.7v6a-i.5dsg
"x2ee, x3ee, x4ee",-0.46
"x2ee, x3ee, xEL2",2.16
"x2ee, x3ee, x5ee",-1.46
"x2ee, x3ee, x6ee",-14.55
"x2ee, x3ee, x7ee",-7.90
"x2ee, x4ee, xEL2",22.05
"x2ee, x4ee, x5ee",-9.15
"x2ee, x4ee, x6ee",-22.19
"x2ee, x4ee, x7ee",-9.11
"x2ee, xEL2, x5ee",-1.23
"x2ee, xEL2, x6ee",-53.63
"x2ee, xEL2, x7ee",-24.09
"x2ee, x5ee, x6ee",-4.85
"x2ee, x5ee, x7ee",1.19
"x2ee, x6ee, x7ee",1.24
"x3ee, x4ee, xEL2",18.61
"x3ee, x4ee, x5ee",-7.63
"x3ee, x4ee, x6ee",-10.69
"x3ee, x4ee, x7ee",-2.53
"x3ee, xEL2, x5ee",25.09
"x3ee, xEL2, x6ee",-38.30
"x3ee, xEL2, x7ee",-14.16
"x3ee, x5ee, x6ee",5.74
"x3ee, x5ee, x7ee",6.31
"x3ee, x6ee, x7ee",-5.25
"x4ee, xEL2, x5ee",19.22
"x4ee, xEL2, x6ee",0.42
"x4ee, xEL2, x7ee",7.09
"x4ee, x5ee, x6ee",7.61
"x4ee, x5ee, x7ee",1.07
"x4ee, x6ee, x7ee",-11.82
"xEL2, x5ee, x6ee",-1.58
"xEL2, x5ee, x7ee",-17.04
"xEL2, x6ee, x7ee",-28.28
"x5ee, x6ee, x7ee",-4.97
