labels,a.7v68,a.7v6a,i.5dsg,a.7v68-i.5dsg,a.7v6a-i.5dsg
"x2ee, x3ee, x4ee, x5ee",225.08,228.18,237.24,-12.16,-9.06
"x2ee, x3ee, x4ee, x6ee",296.36,281.26,310.13,-13.77,-28.87
"x2ee, x3ee, x4ee, x7ee",203.52,196.79,214.96,-11.45,-18.17
"x2ee, x3ee, x5ee, x6ee",268.18,242.32,254.69,13.50,-12.36
"x2ee, x3ee, x5ee, x7ee",249.48,243.39,239.82,9.66,3.57
"x2ee, x3ee, x6ee, x7ee",211.02,204.74,208.18,2.84,-3.44
"x2ee, x4ee, x5ee, x6ee",274.62,255.32,274.94,-0.31,-19.62
"x2ee, x4ee, x5ee, x7ee",255.48,256.79,258.50,-3.02,-1.71
"x2ee, x4ee, x6ee, x7ee",268.81,264.83,277.33,-8.52,-12.50
"x2ee, x5ee, x6ee, x7ee",171.98,157.34,155.18,16.80,2.16
"x3ee, x4ee, x5ee, x6ee",187.34,180.74,187.44,-0.10,-6.70
"x3ee, x4ee, x5ee, x7ee",246.56,257.26,246.96,-0.41,10.29
"x3ee, x4ee, x6ee, x7ee",261.02,265.68,267.26,-6.25,-1.58
"x3ee, x5ee, x6ee, x7ee",233.89,227.13,211.70,22.18,15.42
"x4ee, x5ee, x6ee, x7ee",192.30,188.05,179.12,13.18,8.93
