labels,a.7v68,a.7v6a,i.5dsg,a.7v68-i.5dsg,a.7v6a-i.5dsg
"x2ee, x3ee, x4ee, x5ee",172.45,171.60,185.24,-12.79,-13.65
"x2ee, x3ee, x4ee, x6ee",248.50,233.36,255.90,-7.39,-22.53
"x2ee, x3ee, x4ee, x7ee",175.76,170.33,178.00,-2.23,-7.66
"x2ee, x3ee, x5ee, x6ee",239.06,219.56,219.65,19.41,-0.09
"x2ee, x3ee, x5ee, x7ee",217.64,205.86,208.13,9.50,-2.26
"x2ee, x3ee, x6ee, x7ee",177.42,164.10,181.40,-3.97,-17.30
"x2ee, x4ee, x5ee, x6ee",233.99,221.08,231.19,2.80,-10.11
"x2ee, x4ee, x5ee, x7ee",212.27,207.19,219.86,-7.59,-12.67
"x2ee, x4ee, x6ee, x7ee",234.42,219.24,244.83,-10.40,-25.59
"x2ee, x5ee, x6ee, x7ee",170.13,151.88,149.92,20.22,1.97
"x3ee, x4ee, x5ee, x6ee",164.98,156.74,154.18,10.81,2.56
"x3ee, x4ee, x5ee, x7ee",207.96,200.06,207.86,0.10,-7.80
"x3ee, x4ee, x6ee, x7ee",229.64,212.02,233.02,-3.38,-21.01
"x3ee, x5ee, x6ee, x7ee",220.36,197.90,196.84,23.51,1.06
"x4ee, x5ee, x6ee, x7ee",165.60,151.53,157.05,8.56,-5.51
