labels,a.6wha-i.6wh4
"x2ee, x3ee, x4ee",3.52
"x2ee, x3ee, xEL2",-2.43
"x2ee, x3ee, x5ee",16.46
"x2ee, x3ee, x6ee",-1.03
"x2ee, x3ee, x7ee",-5.59
"x2ee, x4ee, xEL2",-5.00
"x2ee, x4ee, x5ee",17.93
"x2ee, x4ee, x6ee",-2.43
"x2ee, x4ee, x7ee",-6.33
"x2ee, xEL2, x5ee",25.49
"x2ee, xEL2, x6ee",4.79
"x2ee, xEL2, x7ee",-0.23
"x2ee, x5ee, x6ee",-10.50
"x2ee, x5ee, x7ee",-9.12
"x2ee, x6ee, x7ee",-0.30
"x3ee, x4ee, xEL2",0.33
"x3ee, x4ee, x5ee",13.61
"x3ee, x4ee, x6ee",8.86
"x3ee, x4ee, x7ee",7.92
"x3ee, xEL2, x5ee",-9.83
"x3ee, xEL2, x6ee",1.29
"x3ee, xEL2, x7ee",3.08
"x3ee, x5ee, x6ee",8.05
"x3ee, x5ee, x7ee",13.22
"x3ee, x6ee, x7ee",3.83
"x4ee, xEL2, x5ee",7.82
"x4ee, xEL2, x6ee",4.22
"x4ee, xEL2, x7ee",8.67
"x4ee, x5ee, x6ee",9.85
"x4ee, x5ee, x7ee",15.01
"x4ee, x6ee, x7ee",2.59
"xEL2, x5ee, x6ee",6.53
"xEL2, x5ee, x7ee",17.09
"xEL2, x6ee, x7ee",5.04
"x5ee, x6ee, x7ee",-4.88
