labels,a.8dpf,a.8dpg,i.6bqh,a.8dpf-i.6bqh,a.8dpg-i.6bqh
"x2ee, x3ee, x4ee, x5ee",184.50,183.82,213.76,-29.25,-29.93
"x2ee, x3ee, x4ee, x6ee",275.94,274.48,324.59,-48.65,-50.11
"x2ee, x3ee, x4ee, x7ee",208.00,208.33,239.10,-31.10,-30.77
"x2ee, x3ee, x5ee, x6ee",237.05,238.16,290.50,-53.45,-52.34
"x2ee, x3ee, x5ee, x7ee",239.25,241.40,275.85,-36.60,-34.46
"x2ee, x3ee, x6ee, x7ee",209.32,210.63,247.47,-38.15,-36.84
"x2ee, x4ee, x5ee, x6ee",272.12,271.92,291.19,-19.06,-19.27
"x2ee, x4ee, x5ee, x7ee",274.27,275.12,277.15,-2.88,-2.03
"x2ee, x4ee, x6ee, x7ee",300.98,299.96,315.67,-14.69,-15.71
"x2ee, x5ee, x6ee, x7ee",193.42,193.75,214.18,-20.76,-20.44
"x3ee, x4ee, x5ee, x6ee",167.86,166.24,180.96,-13.11,-14.73
"x3ee, x4ee, x5ee, x7ee",222.09,221.04,242.27,-20.18,-21.24
"x3ee, x4ee, x6ee, x7ee",248.69,245.78,282.46,-33.77,-36.67
"x3ee, x5ee, x6ee, x7ee",210.40,210.01,249.30,-38.91,-39.30
"x4ee, x5ee, x6ee, x7ee",169.88,169.23,189.58,-19.71,-20.36
