labels,a.7ej0,a.7ej8,a.7eja,a.7w6p,a.7w7e,i.6kux,a.7ej0-i.6kux,a.7ej8-i.6kux,a.7eja-i.6kux,a.7w6p-i.6kux,a.7w7e-i.6kux
"x2ee, x3ee, x4ee",90.35,98.29,95.42,103.93,100.35,99.78,-9.43,-1.49,-4.36,4.15,0.57
"x2ee, x3ee, xEL2",78.42,77.58,81.06,75.03,75.78,81.53,-3.11,-3.95,-0.47,-6.50,-5.75
"x2ee, x3ee, x5ee",152.48,154.70,159.30,152.84,161.67,165.42,-12.94,-10.72,-6.12,-12.58,-3.75
"x2ee, x3ee, x6ee",175.30,171.12,177.94,169.39,177.53,185.49,-10.19,-14.37,-7.55,-16.10,-7.96
"x2ee, x3ee, x7ee",107.68,105.75,107.39,98.42,107.01,103.35,4.33,2.40,4.04,-4.93,3.66
"x2ee, x4ee, xEL2",70.25,58.17,66.02,54.77,59.73,46.16,24.09,12.01,19.86,8.61,13.57
"x2ee, x4ee, x5ee",143.95,134.65,138.58,116.27,138.69,141.76,2.19,-7.11,-3.18,-25.49,-3.07
"x2ee, x4ee, x6ee",225.46,217.28,220.16,199.09,211.66,225.11,0.35,-7.83,-4.95,-26.02,-13.45
"x2ee, x4ee, x7ee",188.86,187.61,182.50,171.39,175.10,173.35,15.51,14.26,9.15,-1.96,1.75
"x2ee, xEL2, x5ee",8.91,17.85,12.94,4.93,23.04,45.16,-36.25,-27.31,-32.22,-40.23,-22.12
"x2ee, xEL2, x6ee",65.93,76.51,71.48,59.74,70.60,103.19,-37.26,-26.68,-31.71,-43.45,-32.59
"x2ee, xEL2, x7ee",89.98,93.30,89.74,77.96,83.98,97.46,-7.48,-4.16,-7.72,-19.50,-13.48
"x2ee, x5ee, x6ee",109.93,114.30,116.47,111.30,105.44,110.32,-0.39,3.98,6.15,0.98,-4.88
"x2ee, x5ee, x7ee",163.01,161.81,160.75,152.52,150.30,141.67,21.34,20.14,19.08,10.85,8.63
"x2ee, x6ee, x7ee",113.20,103.63,103.29,98.70,97.23,91.16,22.04,12.47,12.13,7.54,6.07
"x3ee, x4ee, xEL2",75.59,72.94,74.04,78.48,72.08,61.61,13.98,11.33,12.43,16.87,10.47
"x3ee, x4ee, x5ee",79.19,77.03,73.52,66.43,76.54,75.96,3.23,1.07,-2.44,-9.53,0.58
"x3ee, x4ee, x6ee",138.86,143.99,137.29,133.80,134.66,139.26,-0.40,4.73,-1.97,-5.46,-4.60
"x3ee, x4ee, x7ee",171.52,180.30,170.81,177.21,168.70,169.73,1.79,10.57,1.08,7.48,-1.03
"x3ee, xEL2, x5ee",65.24,59.26,66.26,73.01,65.22,40.36,24.88,18.90,25.90,32.65,24.86
"x3ee, xEL2, x6ee",37.57,25.81,29.44,36.45,32.06,0.81,36.76,25.00,28.63,35.64,31.25
"x3ee, xEL2, x7ee",61.57,65.79,63.99,54.59,53.11,75.71,-14.14,-9.92,-11.72,-21.12,-22.60
"x3ee, x5ee, x6ee",87.63,98.17,98.19,94.91,89.87,90.35,-2.72,7.82,7.84,4.56,-0.48
"x3ee, x5ee, x7ee",207.92,210.82,212.78,206.94,204.98,203.74,4.18,7.08,9.04,3.20,1.24
"x3ee, x6ee, x7ee",180.83,169.00,173.84,169.71,167.75,173.26,7.57,-4.26,0.58,-3.55,-5.51
"x4ee, xEL2, x5ee",66.00,60.08,63.17,57.54,65.88,54.72,11.28,5.36,8.45,2.82,11.16
"x4ee, xEL2, x6ee",89.53,83.47,84.00,86.09,87.92,78.39,11.14,5.08,5.61,7.70,9.53
"x4ee, xEL2, x7ee",37.21,43.70,36.65,48.18,49.44,37.04,0.17,6.66,-0.39,11.14,12.40
"x4ee, x5ee, x6ee",28.43,31.67,34.89,28.84,32.53,27.04,1.39,4.63,7.85,1.80,5.49
"x4ee, x5ee, x7ee",118.70,109.24,117.12,98.22,114.00,110.10,8.60,-0.86,7.02,-11.88,3.90
"x4ee, x6ee, x7ee",150.51,133.68,141.27,126.96,133.68,142.75,7.76,-9.07,-1.48,-15.79,-9.07
"xEL2, x5ee, x6ee",51.95,54.95,55.61,56.11,53.79,50.71,1.24,4.24,4.90,5.40,3.08
"xEL2, x5ee, x7ee",81.66,86.28,82.64,79.35,86.66,88.81,-7.15,-2.53,-6.17,-9.46,-2.15
"xEL2, x6ee, x7ee",88.11,86.00,84.68,79.90,83.83,96.76,-8.65,-10.76,-12.08,-16.86,-12.93
"x5ee, x6ee, x7ee",60.00,56.02,58.98,57.55,52.20,59.47,0.53,-3.45,-0.49,-1.92,-7.27
