labels,i.5a8e
"x2ee, x3ee, x4ee",54.25
"x2ee, x3ee, xEL2",47.59
"x2ee, x3ee, x5ee",78.40
"x2ee, x3ee, x6ee",93.78
"x2ee, x3ee, x7ee",61.45
"x2ee, x4ee, xEL2",38.38
"x2ee, x4ee, x5ee",70.22
"x2ee, x4ee, x6ee",143.60
"x2ee, x4ee, x7ee",102.13
"x2ee, xEL2, x5ee",13.34
"x2ee, xEL2, x6ee",72.63
"x2ee, xEL2, x7ee",57.26
"x2ee, x5ee, x6ee",97.33
"x2ee, x5ee, x7ee",79.03
"x2ee, x6ee, x7ee",21.17
"x3ee, x4ee, xEL2",34.67
"x3ee, x4ee, x5ee",41.21
"x3ee, x4ee, x6ee",96.24
"x3ee, x4ee, x7ee",87.40
"x3ee, xEL2, x5ee",17.63
"x3ee, xEL2, x6ee",32.30
"x3ee, xEL2, x7ee",44.04
"x3ee, x5ee, x6ee",79.16
"x3ee, x5ee, x7ee",92.55
"x3ee, x6ee, x7ee",53.30
"x4ee, xEL2, x5ee",22.53
"x4ee, xEL2, x6ee",33.02
"x4ee, xEL2, x7ee",8.89
"x4ee, x5ee, x6ee",24.19
"x4ee, x5ee, x7ee",47.11
"x4ee, x6ee, x7ee",62.40
"xEL2, x5ee, x6ee",34.47
"xEL2, x5ee, x7ee",32.37
"xEL2, x6ee, x7ee",36.34
"x5ee, x6ee, x7ee",39.02
