labels,i.6luq
"x2ee, x3ee, x4ee",46.26
"x2ee, x3ee, xEL2",37.36
"x2ee, x3ee, x5ee",68.15
"x2ee, x3ee, x6ee",109.58
"x2ee, x3ee, x7ee",57.32
"x2ee, x4ee, xEL2",55.80
"x2ee, x4ee, x5ee",84.66
"x2ee, x4ee, x6ee",172.45
"x2ee, x4ee, x7ee",94.43
"x2ee, xEL2, x5ee",29.38
"x2ee, xEL2, x6ee",78.95
"x2ee, xEL2, x7ee",50.52
"x2ee, x5ee, x6ee",84.99
"x2ee, x5ee, x7ee",59.44
"x2ee, x6ee, x7ee",27.27
"x3ee, x4ee, xEL2",31.57
"x3ee, x4ee, x5ee",48.79
"x3ee, x4ee, x6ee",97.43
"x3ee, x4ee, x7ee",73.19
"x3ee, xEL2, x5ee",12.47
"x3ee, xEL2, x6ee",7.76
"x3ee, xEL2, x7ee",30.70
"x3ee, x5ee, x6ee",49.37
"x3ee, x5ee, x7ee",69.72
"x3ee, x6ee, x7ee",79.34
"x4ee, xEL2, x5ee",29.49
"x4ee, xEL2, x6ee",58.32
"x4ee, xEL2, x7ee",32.53
"x4ee, x5ee, x6ee",6.99
"x4ee, x5ee, x7ee",49.67
"x4ee, x6ee, x7ee",104.98
"xEL2, x5ee, x6ee",29.75
"xEL2, x5ee, x7ee",31.98
"xEL2, x6ee, x7ee",55.59
"x5ee, x6ee, x7ee",52.14
