labels,i.5zkb
"x2ee, x3ee, x4ee",53.94
"x2ee, x3ee, xEL2",94.18
"x2ee, x3ee, x5ee",124.41
"x2ee, x3ee, x6ee",129.70
"x2ee, x3ee, x7ee",69.63
"x2ee, x4ee, xEL2",104.82
"x2ee, x4ee, x5ee",147.85
"x2ee, x4ee, x6ee",197.93
"x2ee, x4ee, x7ee",127.94
"x2ee, xEL2, x5ee",46.88
"x2ee, xEL2, x6ee",107.58
"x2ee, xEL2, x7ee",99.28
"x2ee, x5ee, x6ee",104.18
"x2ee, x5ee, x7ee",106.70
"x2ee, x6ee, x7ee",58.25
"x3ee, x4ee, xEL2",61.06
"x3ee, x4ee, x5ee",76.90
"x3ee, x4ee, x6ee",121.03
"x3ee, x4ee, x7ee",111.97
"x3ee, xEL2, x5ee",26.89
"x3ee, xEL2, x6ee",72.07
"x3ee, xEL2, x7ee",123.77
"x3ee, x5ee, x6ee",98.16
"x3ee, x5ee, x7ee",161.46
"x3ee, x6ee, x7ee",117.89
"x4ee, xEL2, x5ee",27.74
"x4ee, xEL2, x6ee",21.56
"x4ee, xEL2, x7ee",78.41
"x4ee, x5ee, x6ee",54.11
"x4ee, x5ee, x7ee",126.58
"x4ee, x6ee, x7ee",127.58
"xEL2, x5ee, x6ee",27.85
"xEL2, x5ee, x7ee",48.82
"xEL2, x6ee, x7ee",66.12
"x5ee, x6ee, x7ee",54.46
