labels,a.8dpf,a.8dpg,i.6bqh,a.8dpf-i.6bqh,a.8dpg-i.6bqh
"x2ee, x3ee, x4ee",27.91,25.45,37.03,-9.12,-11.58
"x2ee, x3ee, xEL2",54.87,54.96,57.79,-2.92,-2.83
"x2ee, x3ee, x5ee",91.54,89.94,97.50,-5.96,-7.56
"x2ee, x3ee, x6ee",119.99,118.65,133.47,-13.48,-14.82
"x2ee, x3ee, x7ee",78.37,78.13,79.85,-1.48,-1.72
"x2ee, x4ee, xEL2",73.53,74.91,67.85,5.68,7.06
"x2ee, x4ee, x5ee",119.96,119.93,115.16,4.80,4.77
"x2ee, x4ee, x6ee",187.94,186.90,203.20,-15.26,-16.30
"x2ee, x4ee, x7ee",129.01,129.09,130.30,-1.29,-1.21
"x2ee, xEL2, x5ee",37.25,35.67,25.76,11.49,9.91
"x2ee, xEL2, x6ee",86.88,85.12,97.28,-10.40,-12.16
"x2ee, xEL2, x7ee",75.78,75.32,76.57,-0.79,-1.25
"x2ee, x5ee, x6ee",111.78,111.40,133.24,-21.46,-21.84
"x2ee, x5ee, x7ee",98.32,98.94,107.16,-8.84,-8.22
"x2ee, x6ee, x7ee",42.79,42.69,44.23,-1.44,-1.54
"x3ee, x4ee, xEL2",38.09,38.22,39.75,-1.66,-1.53
"x3ee, x4ee, x5ee",53.85,53.33,52.38,1.47,0.95
"x3ee, x4ee, x6ee",91.16,89.67,103.74,-12.58,-14.07
"x3ee, x4ee, x7ee",75.34,73.74,85.09,-9.75,-11.35
"x3ee, xEL2, x5ee",24.95,25.78,26.02,-1.07,-0.24
"x3ee, xEL2, x6ee",21.76,21.45,22.76,-1.00,-1.31
"x3ee, xEL2, x7ee",52.31,52.19,54.50,-2.19,-2.31
"x3ee, x5ee, x6ee",81.76,81.25,97.58,-15.82,-16.33
"x3ee, x5ee, x7ee",110.60,110.05,124.31,-13.71,-14.26
"x3ee, x6ee, x7ee",83.68,82.42,97.36,-13.68,-14.94
"x4ee, xEL2, x5ee",38.44,38.67,38.52,-0.08,0.15
"x4ee, xEL2, x6ee",33.48,32.64,41.25,-7.77,-8.61
"x4ee, xEL2, x7ee",28.93,29.37,22.91,6.02,6.46
"x4ee, x5ee, x6ee",45.38,45.84,46.35,-0.97,-0.51
"x4ee, x5ee, x7ee",89.24,89.74,92.02,-2.78,-2.28
"x4ee, x6ee, x7ee",100.06,98.96,115.39,-15.33,-16.43
"xEL2, x5ee, x6ee",40.21,39.67,48.96,-8.75,-9.29
"xEL2, x5ee, x7ee",46.31,45.33,47.70,-1.39,-2.37
"xEL2, x6ee, x7ee",52.99,51.64,63.73,-10.74,-12.09
"x5ee, x6ee, x7ee",51.94,51.19,66.95,-15.01,-15.76
