labels,a.8dpf
"x2ee, x3ee, x4ee",34.91
"x2ee, x3ee, xEL2",48.79
"x2ee, x3ee, x5ee",73.56
"x2ee, x3ee, x6ee",103.42
"x2ee, x3ee, x7ee",72.14
"x2ee, x4ee, xEL2",78.52
"x2ee, x4ee, x5ee",107.35
"x2ee, x4ee, x6ee",178.66
"x2ee, x4ee, x7ee",124.79
"x2ee, xEL2, x5ee",27.03
"x2ee, xEL2, x6ee",88.12
"x2ee, xEL2, x7ee",80.57
"x2ee, x5ee, x6ee",107.17
"x2ee, x5ee, x7ee",98.73
"x2ee, x6ee, x7ee",43.33
"x3ee, x4ee, xEL2",36.97
"x3ee, x4ee, x5ee",51.46
"x3ee, x4ee, x6ee",84.41
"x3ee, x4ee, x7ee",63.67
"x3ee, xEL2, x5ee",10.70
"x3ee, xEL2, x6ee",35.03
"x3ee, xEL2, x7ee",56.14
"x3ee, x5ee, x6ee",71.22
"x3ee, x5ee, x7ee",93.11
"x3ee, x6ee, x7ee",73.71
"x4ee, xEL2, x5ee",24.32
"x4ee, xEL2, x6ee",12.59
"x4ee, xEL2, x7ee",34.42
"x4ee, x5ee, x6ee",39.26
"x4ee, x5ee, x7ee",81.56
"x4ee, x6ee, x7ee",97.19
"xEL2, x5ee, x6ee",26.41
"xEL2, x5ee, x7ee",30.39
"xEL2, x6ee, x7ee",50.88
"x5ee, x6ee, x7ee",51.19
