labels,i.6bqh
"x2ee, x3ee, x4ee",73.87
"x2ee, x3ee, xEL2",85.29
"x2ee, x3ee, x5ee",140.55
"x2ee, x3ee, x6ee",182.65
"x2ee, x3ee, x7ee",105.77
"x2ee, x4ee, xEL2",80.75
"x2ee, x4ee, x5ee",141.69
"x2ee, x4ee, x6ee",250.93
"x2ee, x4ee, x7ee",166.26
"x2ee, xEL2, x5ee",20.88
"x2ee, xEL2, x6ee",115.08
"x2ee, xEL2, x7ee",96.66
"x2ee, x5ee, x6ee",149.38
"x2ee, x5ee, x7ee",135.45
"x2ee, x6ee, x7ee",64.90
"x3ee, x4ee, xEL2",58.55
"x3ee, x4ee, x5ee",71.40
"x3ee, x4ee, x6ee",141.73
"x3ee, x4ee, x7ee",132.31
"x3ee, xEL2, x5ee",35.36
"x3ee, xEL2, x6ee",24.31
"x3ee, xEL2, x7ee",76.99
"x3ee, x5ee, x6ee",108.42
"x3ee, x5ee, x7ee",169.93
"x3ee, x6ee, x7ee",141.62
"x4ee, xEL2, x5ee",45.71
"x4ee, xEL2, x6ee",60.08
"x4ee, xEL2, x7ee",22.92
"x4ee, x5ee, x6ee",40.38
"x4ee, x5ee, x7ee",110.90
"x4ee, x6ee, x7ee",149.25
"xEL2, x5ee, x6ee",52.76
"xEL2, x5ee, x7ee",57.66
"xEL2, x6ee, x7ee",83.31
"x5ee, x6ee, x7ee",78.64
