labels,a.7jjo-i.5a8e
"x2ee, x3ee, x4ee",0.36
"x2ee, x3ee, xEL2",3.56
"x2ee, x3ee, x5ee",-1.76
"x2ee, x3ee, x6ee",0.41
"x2ee, x3ee, x7ee",0.09
"x2ee, x4ee, xEL2",6.43
"x2ee, x4ee, x5ee",-5.92
"x2ee, x4ee, x6ee",-5.28
"x2ee, x4ee, x7ee",-0.99
"x2ee, xEL2, x5ee",-4.54
"x2ee, xEL2, x6ee",-15.77
"x2ee, xEL2, x7ee",-6.27
"x2ee, x5ee, x6ee",-3.49
"x2ee, x5ee, x7ee",0.38
"x2ee, x6ee, x7ee",5.05
"x3ee, x4ee, xEL2",5.94
"x3ee, x4ee, x5ee",-3.39
"x3ee, x4ee, x6ee",-5.11
"x3ee, x4ee, x7ee",-0.71
"x3ee, xEL2, x5ee",8.59
"x3ee, xEL2, x6ee",5.08
"x3ee, xEL2, x7ee",-2.91
"x3ee, x5ee, x6ee",-5.72
"x3ee, x5ee, x7ee",-1.77
"x3ee, x6ee, x7ee",5.46
"x4ee, xEL2, x5ee",-0.68
"x4ee, xEL2, x6ee",-0.37
"x4ee, xEL2, x7ee",-7.90
"x4ee, x5ee, x6ee",-3.52
"x4ee, x5ee, x7ee",-4.57
"x4ee, x6ee, x7ee",1.00
"xEL2, x5ee, x6ee",-4.72
"xEL2, x5ee, x7ee",-9.16
"xEL2, x6ee, x7ee",-4.39
"x5ee, x6ee, x7ee",1.02
