labels,a.7cmv-i.3pbl
"x2ee, x3ee, x4ee",3.16
"x2ee, x3ee, xEL2",-5.80
"x2ee, x3ee, x5ee",-0.17
"x2ee, x3ee, x6ee",1.92
"x2ee, x3ee, x7ee",4.90
"x2ee, x4ee, xEL2",-5.35
"x2ee, x4ee, x5ee",1.60
"x2ee, x4ee, x6ee",3.40
"x2ee, x4ee, x7ee",7.45
"x2ee, xEL2, x5ee",3.99
"x2ee, xEL2, x6ee",-4.38
"x2ee, xEL2, x7ee",-0.73
"x2ee, x5ee, x6ee",-4.28
"x2ee, x5ee, x7ee",1.45
"x2ee, x6ee, x7ee",0.20
"x3ee, x4ee, xEL2",-1.01
"x3ee, x4ee, x5ee",2.77
"x3ee, x4ee, x6ee",3.13
"x3ee, x4ee, x7ee",3.35
"x3ee, xEL2, x5ee",0.99
"x3ee, xEL2, x6ee",-9.30
"x3ee, xEL2, x7ee",-10.91
"x3ee, x5ee, x6ee",-6.06
"x3ee, x5ee, x7ee",-4.25
"x3ee, x6ee, x7ee",-2.67
"x4ee, xEL2, x5ee",4.09
"x4ee, xEL2, x6ee",8.18
"x4ee, xEL2, x7ee",-12.09
"x4ee, x5ee, x6ee",-6.28
"x4ee, x5ee, x7ee",-4.41
"x4ee, x6ee, x7ee",-4.01
"xEL2, x5ee, x6ee",3.91
"xEL2, x5ee, x7ee",6.10
"xEL2, x6ee, x7ee",-2.65
"x5ee, x6ee, x7ee",-5.49
