labels,a.3sn6,i.2rh1,i.3ny9,i.6ps2,i.6ps4,i.6ps5,i.6ps6,a.3sn6-i.2rh1,a.3sn6-i.3ny9,a.3sn6-i.6ps2,a.3sn6-i.6ps4,a.3sn6-i.6ps5,a.3sn6-i.6ps6
"x2ee, x3ee, x4ee",58.76,52.38,55.51,50.48,50.89,52.10,52.63,6.38,3.25,8.28,7.87,6.66,6.13
"x2ee, x3ee, xEL2",44.15,45.41,48.97,45.40,46.01,47.53,46.98,-1.26,-4.82,-1.25,-1.86,-3.38,-2.83
"x2ee, x3ee, x5ee",83.18,75.54,80.53,73.98,74.49,75.79,75.52,7.64,2.65,9.20,8.69,7.39,7.66
"x2ee, x3ee, x6ee",100.64,100.26,101.50,103.54,95.40,99.68,98.32,0.38,-0.86,-2.90,5.24,0.96,2.32
"x2ee, x3ee, x7ee",62.76,55.86,54.13,51.01,51.50,52.96,61.99,6.90,8.63,11.75,11.26,9.80,0.77
"x2ee, x4ee, xEL2",51.70,36.98,40.83,38.21,41.02,42.19,39.65,14.72,10.87,13.49,10.68,9.51,12.05
"x2ee, x4ee, x5ee",68.45,67.19,69.54,64.26,65.39,65.93,63.44,1.26,-1.09,4.19,3.06,2.52,5.01
"x2ee, x4ee, x6ee",150.52,156.86,152.71,163.92,146.30,153.09,147.04,-6.34,-2.19,-13.40,4.22,-2.57,3.48
"x2ee, x4ee, x7ee",96.92,94.42,87.58,82.12,86.89,86.97,96.57,2.50,9.34,14.80,10.03,9.95,0.35
"x2ee, xEL2, x5ee",28.61,10.97,7.23,5.79,4.18,4.32,7.53,17.64,21.38,22.82,24.43,24.29,21.08
"x2ee, xEL2, x6ee",48.41,78.19,68.85,79.26,62.94,67.22,65.72,-29.78,-20.44,-30.85,-14.53,-18.81,-17.31
"x2ee, xEL2, x7ee",35.30,51.37,43.74,40.45,43.12,42.46,47.41,-16.07,-8.44,-5.15,-7.82,-7.16,-12.11
"x2ee, x5ee, x6ee",106.11,109.35,103.71,119.72,100.66,106.26,100.23,-3.24,2.40,-13.61,5.45,-0.15,5.88
"x2ee, x5ee, x7ee",71.62,73.36,66.15,61.30,68.50,66.62,70.66,-1.74,5.47,10.32,3.12,5.00,0.96
"x2ee, x6ee, x7ee",12.95,19.02,17.34,3.66,21.74,17.36,26.36,-6.07,-4.39,9.29,-8.79,-4.41,-13.41
"x3ee, x4ee, xEL2",47.84,35.74,40.20,37.13,39.56,39.97,38.19,12.10,7.64,10.71,8.28,7.87,9.65
"x3ee, x4ee, x5ee",41.01,40.78,41.44,37.84,38.75,38.89,37.66,0.23,-0.43,3.17,2.26,2.12,3.35
"x3ee, x4ee, x6ee",103.46,106.44,102.70,108.62,97.48,100.79,96.96,-2.98,0.76,-5.16,5.98,2.67,6.50
"x3ee, x4ee, x7ee",86.50,87.20,84.18,76.58,81.68,80.93,84.27,-0.70,2.32,9.92,4.82,5.57,2.23
"x3ee, xEL2, x5ee",41.53,19.51,25.25,23.54,26.45,26.36,23.74,22.02,16.28,17.99,15.08,15.17,17.79
"x3ee, xEL2, x6ee",10.49,30.06,28.64,29.62,26.80,27.93,25.96,-19.57,-18.15,-19.13,-16.31,-17.44,-15.47
"x3ee, xEL2, x7ee",16.75,41.46,39.19,35.26,38.45,37.48,32.68,-24.71,-22.44,-18.51,-21.70,-20.73,-15.93
"x3ee, x5ee, x6ee",87.22,84.91,82.31,90.67,79.02,81.51,76.76,2.31,4.91,-3.45,8.20,5.71,10.46
"x3ee, x5ee, x7ee",88.35,91.73,90.33,81.80,89.36,87.08,83.39,-3.38,-1.98,6.55,-1.01,1.27,4.96
"x3ee, x6ee, x7ee",50.28,63.40,64.66,55.17,65.63,63.99,59.00,-13.12,-14.38,-4.89,-15.35,-13.71,-8.72
"x4ee, xEL2, x5ee",34.57,22.98,25.04,23.01,24.34,23.98,22.39,11.59,9.53,11.56,10.23,10.59,12.18
"x4ee, xEL2, x6ee",58.87,43.14,43.05,46.79,42.38,43.71,41.71,15.73,15.82,12.08,16.49,15.16,17.16
"x4ee, xEL2, x7ee",26.31,11.94,5.57,4.24,3.89,3.98,15.08,14.37,20.74,22.07,22.42,22.33,11.23
"x4ee, x5ee, x6ee",24.79,19.69,21.05,20.12,20.29,19.60,17.55,5.10,3.74,4.67,4.50,5.19,7.24
"x4ee, x5ee, x7ee",43.11,46.12,48.11,43.43,47.00,45.58,37.50,-3.01,-5.00,-0.32,-3.89,-2.47,5.61
"x4ee, x6ee, x7ee",63.35,80.31,81.09,85.13,80.28,81.96,67.38,-16.96,-17.74,-21.78,-16.93,-18.61,-4.03
"xEL2, x5ee, x6ee",48.85,39.76,38.38,43.89,37.41,38.51,35.67,9.09,10.47,4.96,11.44,10.34,13.18
"xEL2, x5ee, x7ee",32.14,31.25,26.86,24.22,25.74,24.33,27.00,0.89,5.28,7.92,6.40,7.81,5.14
"xEL2, x6ee, x7ee",24.98,45.03,41.00,42.07,40.45,40.38,34.46,-20.05,-16.02,-17.09,-15.47,-15.40,-9.48
"x5ee, x6ee, x7ee",43.27,53.80,53.05,61.78,52.61,55.03,44.50,-10.53,-9.78,-18.51,-9.34,-11.76,-1.23
