labels,a.7jvr-i.7dfp
"x2ee, x3ee, x4ee",7.78
"x2ee, x3ee, xEL2",5.37
"x2ee, x3ee, x5ee",17.30
"x2ee, x3ee, x6ee",28.20
"x2ee, x3ee, x7ee",18.24
"x2ee, x4ee, xEL2",0.20
"x2ee, x4ee, x5ee",2.73
"x2ee, x4ee, x6ee",19.54
"x2ee, x4ee, x7ee",13.12
"x2ee, xEL2, x5ee",-4.84
"x2ee, xEL2, x6ee",7.79
"x2ee, xEL2, x7ee",1.50
"x2ee, x5ee, x6ee",24.38
"x2ee, x5ee, x7ee",11.92
"x2ee, x6ee, x7ee",-4.87
"x3ee, x4ee, xEL2",0.09
"x3ee, x4ee, x5ee",-4.14
"x3ee, x4ee, x6ee",1.94
"x3ee, x4ee, x7ee",2.83
"x3ee, xEL2, x5ee",8.68
"x3ee, xEL2, x6ee",-18.94
"x3ee, xEL2, x7ee",-12.44
"x3ee, x5ee, x6ee",12.70
"x3ee, x5ee, x7ee",10.59
"x3ee, x6ee, x7ee",4.20
"x4ee, xEL2, x5ee",7.04
"x4ee, xEL2, x6ee",16.18
"x4ee, xEL2, x7ee",2.20
"x4ee, x5ee, x6ee",7.56
"x4ee, x5ee, x7ee",1.08
"x4ee, x6ee, x7ee",1.77
"xEL2, x5ee, x6ee",13.33
"xEL2, x5ee, x7ee",7.26
"xEL2, x6ee, x7ee",1.45
"x5ee, x6ee, x7ee",7.48
