labels,a.8e9z-i.4u15
"x2ee, x3ee, x4ee",4.81
"x2ee, x3ee, xEL2",6.32
"x2ee, x3ee, x5ee",0.02
"x2ee, x3ee, x6ee",-13.06
"x2ee, x3ee, x7ee",-1.51
"x2ee, x4ee, xEL2",18.83
"x2ee, x4ee, x5ee",-19.69
"x2ee, x4ee, x6ee",-35.12
"x2ee, x4ee, x7ee",0.66
"x2ee, xEL2, x5ee",5.91
"x2ee, xEL2, x6ee",-64.07
"x2ee, xEL2, x7ee",-9.40
"x2ee, x5ee, x6ee",-5.99
"x2ee, x5ee, x7ee",19.34
"x2ee, x6ee, x7ee",19.99
"x3ee, x4ee, xEL2",16.27
"x3ee, x4ee, x5ee",-14.59
"x3ee, x4ee, x6ee",-18.06
"x3ee, x4ee, x7ee",6.85
"x3ee, xEL2, x5ee",35.13
"x3ee, xEL2, x6ee",-44.53
"x3ee, xEL2, x7ee",-1.56
"x3ee, x5ee, x6ee",4.50
"x3ee, x5ee, x7ee",20.42
"x3ee, x6ee, x7ee",8.48
"x4ee, xEL2, x5ee",17.66
"x4ee, xEL2, x6ee",-0.97
"x4ee, xEL2, x7ee",9.42
"x4ee, x5ee, x6ee",7.72
"x4ee, x5ee, x7ee",-1.09
"x4ee, x6ee, x7ee",-15.64
"xEL2, x5ee, x6ee",-1.16
"xEL2, x5ee, x7ee",-3.45
"xEL2, x6ee, x7ee",-34.64
"x5ee, x6ee, x7ee",-5.18
