labels,a.8dpf-i.6bqh
"x2ee, x3ee, x4ee, x5ee",-29.25
"x2ee, x3ee, x4ee, x6ee",-48.65
"x2ee, x3ee, x4ee, x7ee",-31.10
"x2ee, x3ee, x5ee, x6ee",-53.45
"x2ee, x3ee, x5ee, x7ee",-36.60
"x2ee, x3ee, x6ee, x7ee",-38.15
"x2ee, x4ee, x5ee, x6ee",-19.06
"x2ee, x4ee, x5ee, x7ee",-2.88
"x2ee, x4ee, x6ee, x7ee",-14.69
"x2ee, x5ee, x6ee, x7ee",-20.76
"x3ee, x4ee, x5ee, x6ee",-13.11
"x3ee, x4ee, x5ee, x7ee",-20.18
"x3ee, x4ee, x6ee, x7ee",-33.77
"x3ee, x5ee, x6ee, x7ee",-38.91
"x4ee, x5ee, x6ee, x7ee",-19.71
